"start","end","text"
"4050","8130"," Le deuxième examen systématique en cardiologie après le"
"8130","11930"," microcardiogramme, c'est la radiographie thoracique pour essayer"
"11930","14690"," de voir un petit peu cette silhouette cardiaque"
"14690","17070"," et l'état de la vascularisation pulmonaire qui"
"17070","18770"," nous intéresse en cardiologie."
"21770","23470"," Alors, les objectifs de ce cours, c'est"
"23470","25330"," d'abord, il faut évaluer la qualité d "
"25330","27370","'une radio pour pouvoir l'interpréter, savoir l "
"27370","29210","'orienter à droite par rapport à la gauche,"
"29430","32570"," calculer justement ce rapport cardiothoracique qui va nous"
"32570","36810"," renseigner sur le volume du coeur, interpréter cette"
"36810","39690"," silhouette cardiaque avec tous ses détails, les bords"
"39690","42050"," et les arbres pour pouvoir avoir une signification"
"42050","44970"," en clinique et puis évaluer par la suite,"
"45090","46950"," n'oubliant pas la qualité de la circulation"
"46950","47670"," pulmonaire."
"50310","53130"," La radiographie thoracique est un examen non évasif"
"53130","55810"," et très simple, très utile en pratique quotidienne,"
"55930","58150"," de réalisation facile, comme je vous l'ai"
"58150","60770"," dit, effectué systématiquement en cardiologie. "
"61550","63709"," La répétition des clichés nous permet de suivre"
"63709","66070"," l'évolution de la cardiopathie et on a"
"66070","69450"," plusieurs incidences, mais dans notre cours aujourd'hui,"
"69510","72030"," on va s'intéresser uniquement à l'incidence"
"72030","72770"," de face."
"75120","76480"," Sur le plan technique, il y a une"
"76480","79920"," distance foyée de rayons XF qui est constamment"
"79920","81860"," de 1,5 à 2 mètres pour éviter"
"81860","86360"," d'agrandir le coeur et interpréter faussement et"
"86360","88220"," dire qu'il y a une cardiomygalie."
"88220","91460"," Les clichés sont pris en incidence poster-antérieure,"
"91720","94320"," debout-debout surtout, et qui doivent être en"
"94320","97400"," inspiration profonde et forcée pour avoir une bonne"
"97400","101520"," qualité de radiographie et pour pouvoir procéder à"
"101520","104020"," une étude complète des différentes cavités, il est"
"104020","107820"," nécessaire de réaliser pratiquement les quatre incidences si"
"107820","109840"," on veut plus de détails par rapport à"
"109840","111840"," une cavité déterminée. "
"114500","118720"," Les quatre incidences sont les suivantes, si vous"
"118720","121940"," regardez un petit peu le couple transverse du"
"121940","123780"," coeur, comme vous le savez, il est orienté"
"123780","127620"," vers à gauche, en bas et en dehors,"
"127699","129400"," de telle sorte que vous aurez les oreillettes"
"129400","133140"," derrière et les ventricules devant, donc vous avez"
"133140","136020"," l'incidence de profil, donc quand vous regardez"
"136020","138420"," de ce côté-là, vous avez l'oagéloblique"
"138420","141440"," antérieure gauche qui est la vraie face si"
"141440","143280"," on veut dire du coeur, puis vous avez"
"143280","146360"," l'incidence de face, si vous regardez cette"
"146360","149200"," incidence de face, vous allez plutôt voir au"
"149200","151320"," milieu de la silhouette cardiaque le VD en"
"151320","154000"," avant et l'oreille gauche derrière, et l "
"154000","156180","'OAD, c'est l'oblique antérieure droite qui"
"156180","159160"," est à vrai dire le vrai profil du"
"159160","159660"," coeur."
"160060","163320"," Dans ce cours, on va uniquement étudier l "
"163320","164380","'incidence de face."
"166480","168540"," Alors, première chose à faire, c'est d "
"168540","170080","'évaluer la qualité de cette radio. "
"170260","172380"," Premièrement, elle doit être symétrique, c'est-à "
"172380","176660","-dire, vous allez calculer cet espace interclédo-vertébral,"
"177100","180620"," interclédo-vertébral, clédo, c'est l'adjectif de"
"180620","184020"," clavicule et vertébrale, donc on fait allusion à"
"184020","186720"," la vertèbre, donc vous allez tracer la ligne"
"186720","188280"," qui passe par les épineux, c'est ce"
"188280","190940"," que vous avez en pointillé, et vous allez"
"190940","194260"," calculer la distance entre cette épineuse et la"
"194260","197500"," face interne de la clavicule, cette distance doit"
"197500","200120"," être la même des deux côtés pour parler"
"200120","202260"," d'une radiographie thoracique symétrique."
"203000","205320"," Alors, une radiographie pénétrée, c'est-à-dire"
"205320","208720"," de pénétrance correcte, on va voir la silhouette"
"208720","210960"," cardiaque qui est située au centre, donc les"
"210960","215220"," vertèbres suscardiaques qui sont situées en-dessus de"
"215220","218780"," la silhouette cardiaque doivent être visibles, les vertèbres"
"218780","223000"," rétrocardiaques derrière la silhouette cardiaque à peine visibles,"
"223460","225920"," et puis les vertèbres sous-cardiaques, c'est "
"225920","227940","-à-dire en-dessous de la silhouette cardiaque"
"227940","229220"," doivent être non-visibles."
"229660","234400"," Je répète, les vertèbres suscardiaques visibles, rétrocardiaques à"
"234400","237120"," peine visibles, et sous-cardiaques non-visibles. "
"237540","241480"," La radiographie doit être faite en inspiration forcée"
"241480","244620"," ou profonde, pour ceci vous allez calculer, vous"
"244620","248100"," allez regarder les arcs antérieurs, et vous allez"
"248100","250520"," calculer les arcs de haut en bas, de"
"250520","254020"," telle sorte que vous aurez le sixième arc"
"254020","257519"," antérieur qui doit traverser la coupole diaphragmatique pour"
"257519","262340"," dire que votre radiographie est de bonne qualité"
"262340","263960"," et faite en inspiration profonde."
"264620","266340"," Elle doit être non-computée, c'est-à "
"266340","267820","-dire qu'on doit voir un petit peu"
"267820","271180"," toute l'imagerie de la radio, c'est "
"271180","272580","-à-dire qu'on doit dégager les cul "
"272580","273860","-de-sac, on doit aller voir les cul "
"273860","277160","-de-sac ronds, on doit dégager les sommets"
"277160","280540"," des poumons, donc on voit un petit peu"
"280540","284120"," tout, rien ne serait computé sur cette radio."
"286860","290720"," On va essayer d'orienter la radiographie thoracique,"
"290920","292800"," sa droite et sa gauche, donc on va"
"292800","295540"," s'aider de quelques constituants anatomiques. "
"295540","298960"," Alors, la poche aérogastrique est située sous la"
"298960","303600"," coupole diaphragmatique gauche, sous forme d'une clarté,"
"303720","305780"," c'est-à-dire une image noire à"
"305780","307900"," cause de l'air, et puis à droite"
"307900","310920"," vous aurez une surelévation de la coupole diaphragmatique"
"310920","314060"," suite à la présence du foie, puis la"
"314060","316100"," petite cissure si on arrive à la voir,"
"316560","318620"," elle est bien évidemment à droite parce que"
"318620","321240"," vous avez trois longues à droite, et puis"
"321240","323720"," vous regardez les bronzes souches, généralement la bronze"
"323720","325860"," souche droite est rectiligne par rapport à la"
"325860","328620"," poche, et l'angle de la carène qui"
"328620","331520"," est l'angle de bifurcation des deux bronches,"
"331940","334660"," il va regarder plutôt à gauche."
"335860","337660"," Alors on commence cette fois-ci par l "
"337660","339820","'interprétation, vous avez deux choses, vous avez un"
"339820","342060"," contenant qui est la cage thoracique avec les"
"342060","344220"," côtes et la cône vertébrale, puis vous avez"
"344220","345420"," le contenu, ce qu'il y a dedans,"
"345860","347840"," le cœur et les gros vaisseaux, les poumons"
"347840","350300"," et le médias Alors l'objectif de notre"
"350300","352760"," cours est d'étudier le cœur et les"
"352760","355320"," gros vaisseaux ainsi que la circulation pulmonaire."
"356440","360080"," Donc en cardiologie, deux éléments essentiels, la silhouette"
"360080","362800"," cardiaque et la vascularisation pulmonaire. "
"362920","364660"," Et dans la silhouette cardiaque, on calcule ce"
"364660","366600"," qu'on appelle le rapport cardiothoracique pour voir"
"366600","368540"," si le volume du cœur est normal ou"
"368540","371480"," augmenté, puis les ports du cœur et l "
"371480","375840","'arc pour vérifier un petit peu la projection"
"375840","380160"," des différentes cavités et nous donner une signification"
"380160","381660"," par rapport à ces cavités, est-ce qu "
"381660","385200","'elles sont normales ou hypertrophées et ou dilatées."
"387400","390120"," Alors je commence par la silhouette cardiaque, je"
"390120","393400"," vais calculer le rapport cardiothoracique, là vous avez"
"393400","395740"," le texte, on passe directement sur le schéma."
"398180","400580"," Alors pour calculer le rapport cardiothoracique, vous allez"
"400580","403880"," tracer la ligne qui passe par les épineux,"
"403940","406720"," cette ligne qui est en pointillés, puis vous"
"406720","412000"," allez calculer le premier diamètre qui va de"
"412000","416380"," cette ligne épineuse jusqu'au point culminant, c "
"416380","419900","'est-à-dire le plus lointain du bord"
"419900","423720"," droit, d'accord, et puis le 2 c "
"423720","426920","'est le diamètre qui va séparer la ligne"
"426920","430540"," épineuse jusqu'au point le plus culminant à"
"430540","431920"," vous, c'est-à-dire le plus lointain,"
"432340","434720"," et le 3 c'est le diamètre du"
"434720","437000"," thorax, et vous faites 1 plus 2 sur"
"437000","441080"," 3, il est normalement égal à 0,50,"
"441340","444180"," si vous avez plus de 0,50, on"
"444180","446060"," parle de cardio-méganisme, c'est-à-dire"
"446060","447840"," c'est un cœur qui est augmenté de"
"447840","456300"," volume, donc après avoir situé ou évalué un"
"456300","457880"," petit peu le volume du cœur, on va"
"457880","459700"," rentrer dans les détails, on va voir les"
"459700","462220"," bords du cœur et les arcs, alors les"
"462220","463980"," bords ou ce qu'on appelle les contours,"
"464100","465200"," c'est la même chose, alors nous avons"
"465200","467260"," deux bords, vous avez un bord droit et"
"467260","469540"," vous avez un bord gauche, et chaque bord"
"469540","472900"," est décomposé en arc, et chaque arc va"
"472900","475480"," représenter la projection soit d'une cavité cardiaque"
"475480","477360"," ou d'un vaisseau, alors sachez que le"
"477360","480880"," bord droit est formé de deux arcs, et"
"480880","484140"," le bord gauche est formé de 3 arcs,"
"486220","488660"," je commence par le bord droit, c'est"
"488660","490360"," un bord qui est plutôt vertical, qui est"
"490360","493640"," composé de deux arcs, alors pour chaque arc,"
"493820","496840"," vous allez voir un petit peu la forme"
"496840","499700"," qui est écrite en vert, et c'est"
"499700","501800"," à mémoriser ces formes, parce qu'ils vont"
"501800","504420"," changer en cours de pathologie, et vous devriez"
"504420","506920"," un petit peu mémoriser, elles correspondent à quelle"
"506920","509980"," cavité cardiaque ou un vaisseau, c'est ce"
"509980","514200"," qui vous est apparu, écrit en gras et"
"514200","515020"," en noir, d'accord?"
"515440","518440"," Alors l'arc supérieur droit, il est rectiligne,"
"518620","519940"," c'est à dire c'est comme ligneux"
"519940","521080"," si l'on veut dire plus ou moins"
"521080","524360"," droite, et qui va correspondre à la 20"
"524360","527900"," caves supérieures, ça c'est la normale, sauf"
"527900","530360"," si vous avez une aorte ascendante qui va"
"530360","532460"," être déroulée chez le sujet âgé, ça peut"
"532460","535680"," se projeter aussi sur cet arc, mais généralement,"
"536020","537440"," si on veut être simple, c'est la"
"537440","538540"," 20 caves supérieures. "
"538940","541620"," L'arc inférieur droit, donc en dessous de"
"541620","543040"," cet arc, vous avez l'arc inférieur droit,"
"543180","545760"," qui est légèrement convex, quand je parle de"
"545760","548700"," convex, c'est par rapport à dehors, donc"
"548700","551520"," légèrement convex, et qui va correspondre à quelle"
"551520","551960"," cavité?"
"552220","553140"," L'orillette droite."
"553720","555120"," Tout ceci on va le voir sur un"
"555120","555320"," schéma."
"557340","559100"," Alors le bord gauche, je vous ai dit"
"559100","560140"," tout à l'heure qu'il est composé"
"560140","560940"," de trois arcs. "
"561100","564140"," Arc supérieur gauche, il est arrondi, pour mémoriser"
"564140","567880"," la forme, il va correspondre à une partie"
"567880","569820"," de la crosse de l'aorte, et on"
"569820","571640"," l'appelle bouton aortique."
"572520","573940"," L'arc moyen gauche, c'est l'arc"
"573940","577300"," qui suit, il est concave en dehors, donc"
"577300","580760"," mémoriser sa forme, il va correspondre à deux"
"580760","583140"," parties, dans ses deux tiers supérieurs, c'est"
"583140","585560"," le tronc de l'artère prémoniaire, et dans"
"585560","587460"," son tiers inférieur, c'est l'oricule gauche."
"587460","589380"," L'oricule gauche, c'est pas l'orillette"
"589380","591120"," gauche, l'oricule gauche c'est une poche"
"591120","594120"," qui est appendue à l'orillette gauche. "
"594640","596260"," Et puis vous avez l'arc inférieur gauche,"
"596340","597860"," il est l'arc le plus long, donc"
"597860","599380"," il est le plus long sur le point"
"599380","602900"," un petit peu diamètre, et le plus convex,"
"603300","606340"," et il correspond au ventricule gauche, et ce"
"606340","608760"," qui le caractérise essentiellement c'est que la"
"608760","611560"," pointe se confond avec les diaphragmes, ça veut"
"611560","613040"," dire qu'elle va avec les diaphragmes de"
"613040","615380"," telle sorte qu'on a du mal à"
"615380","616380"," dégager cette pointe."
"616460","621120"," C'est important comme caractéristique pour pouvoir un"
"621120","623600"," petit peu différencier dans la pathologie quand elle"
"623600","626560"," est un petit peu en dessous du diaphragme"
"626560","629140"," ou en dessous du diaphragme."
"631560","634780"," Alors voici le schéma, lorsque vous avez à"
"634780","636680"," droite, c'est un petit peu le cœur"
"636680","639360"," avec toutes ses structures, ses cavités et les"
"639360","643040"," gros vaisseaux qui vont se projeter, qui vont"
"643040","645880"," laisser des empreintes et qui vont représenter ce"
"645880","647240"," qu'on appelle les arcs. "
"647420","650020"," Et si vous regardez la projection sur le"
"650020","652820"," schéma à gauche, si vous regardez le bord"
"652820","656100"," droit, l'arc supérieur droit c'est la"
"656100","660040"," vingt-quatre supérieure avec l'asigousse, et ce"
"660040","663000"," que vous avez en bas, il est légèrement"
"663000","664940"," convex en dehors et c'est l'orillette"
"664940","665300"," droite."
"665900","668120"," Si je me mets sur le bord gauche"
"668120","670060"," qui est composé de trois arcs, l'arc"
"670060","671620"," supérieur gauche c'est l'aorte, ce qu "
"671620","673880","'on appelle le bouton aortique qui est arrondi."
"674460","679120"," Le deuxième arc, il est un petit peu,"
"679140","682900"," si l'on veut dire concave en dehors"
"682900","685500"," sous forme de S, avec sa partie supérieure"
"685500","687860"," c'est artère pulmonaire AP et sa partie"
"687860","690380"," inférieure AG c'est auricule gauche. "
"691180","692300"," Et puis en bas vous avez l'arc"
"692300","695080"," inférieur gauche qui est le plus lent et"
"695080","697360"," qui va correspondre au ventricule gauche et si"
"697360","700480"," vous regardez la pointe, elle se confond avec"
"700480","701540"," le diaphragme."
"703540","706940"," Encore une fois de manière très schématique, le"
"706940","709140"," bord droit du coeur, vous avez l'arc"
"709140","712000"," supérieur droit qui est rectiligne et c'est"
"712000","715120"," la vingt-quatre supérieure, le bord inférieur qui"
"715120","717440"," est légèrement convex et c'est l'orillette"
"717440","720080"," droite, le bord gauche du coeur vous avez"
"720080","723320"," trois arcs, l'arc supérieur gauche il est"
"723320","726080"," arrondi, il va correspondre à l'aorte."
"726560","730300"," Puis l'arc moyen, il est concave en"
"730300","732200"," dehors, vous avez deux parties, surtout l'artère"
"732200","734960"," pulmonaire et la partie inférieure c'est l "
