"start","end","text"
"1220","4280"," L'acide est un signe clinique qui peut"
"4280","10200"," accompagner plusieurs pathologies qui peuvent être digestives ou"
"10200","13460"," extra digestives, d'où l'intérêt de sa"
"13460","13880"," connaissance."
"14960","18180"," Le médecin doit être capable donc de reconnaître"
"18180","21540"," cliniquement un acide, quelle que soit son abondance."
"23120","26480"," Il doit être aussi capable de préciser les"
"26480","30300"," facteurs de cet acide, d'identifier les acides"
"30300","33120"," qui sont riches en protides ou pauvres en"
"33120","37060"," protides au chilaire, parce qu'en fonction de"
"37060","40840"," l'aspect de liquide d'acide, la cause"
"40840","42040"," peut être différente. "
"42660","45640"," Et surtout, le médecin doit être capable de"
"45640","51480"," mener une enquête étiologique bien codifiée ou devant"
"51480","53180"," la découverte d'un acide."
"54340","58500"," Il doit connaître les principales étiologies des acides"
"58500","61100"," riches en protides et aussi des acides pauvres"
"61100","61860"," en protides."
"64370","66250"," C'est quoi un acide ?"
"66250","68390"," Tout simplement, c'est la présence d'un"
"68390","72810"," épanchement liquidien non pérulant et non hémorragique dans"
"72810","74330"," la cavité péritoniale. "
"75230","78330"," Il représente une expression clinique de pathologies barrières"
"78330","79030"," nombreuses."
"79990","83730"," Pour arriver au diagnostic étiologique, il est très"
"83730","88250"," important de mener une enquête étiologique qui est"
"88250","92430"," basée essentiellement sur la clinique, sur l'échographie"
"92430","96670"," et la nature de liquide d'acide, après"
"96670","98150"," donc fonction d'acide."
"100970","105350"," Pour appel physiologique, le péritone est formé par"
"105350","108290"," deux feuilles, un feuille paritale et un feuille"
"108290","108990"," viscérale. "
"109410","112470"," Le feuille paritale est contre le parois et"
"112470","118050"," le feuille viscérale recouvre les organes intra-abdominaux."
"119250","124810"," Ce péritone est une surface d'échanges qui"
"124810","129870"," permet qu'il y ait un effluide d "
"129870","134730","'environ 200 millilitres à partir d'un ultrafiltrat"
"134730","135470"," du plasma."
"136850","140910"," Ce liquide à l'intérieur du péritone permet"
"140910","146010"," le glissement des deux feuilles l'une contre"
"146010","149810"," l'autre, ce qui permet aux organes intra "
"149810","153110","-abdominaux de bouger un petit peu lors de"
"153110","157010"," la respiration et lors des changements de mouvements"
"157010","159130"," de l'individu sans qu'il y ait"
"159130","159910"," des frottements. "
"161630","165570"," Le liquide intra-péritoneal existe en une quantité"
"165570","167550"," bien définie, c'est un liquide qui est"
"167550","174930"," donc riche en certains immunoglobulins qui permettent d "
"174930","180410","'avoir des propriétés anti-infectieuses et donc d "
"180410","181990","'éviter, c'est pour ça qu'il n "
"181990","184130","'y a pas d'infection au niveau de"
"184130","184750"," ce liquide."
"185190","187570"," Ce qui est très important à savoir, c "
"187570","190490","'est qu'il y a un équilibre entre"
"190490","193750"," le liquide qui rentre et le liquide qui"
"193750","194170"," sort."
"196690","202570"," Et donc, s'il y a un déséquilibre"
"202570","205250"," entre la production, donc l'entrée de liquide"
"205250","208270"," à l'intérieur de la cavité péritoneale et"
"208270","211610"," le drainage de celui-ci, en cas de"
"211610","214950"," déséquilibre on va avoir là une acide. "
"221110","222950"," Et sur le plan physiopathologique, il y a"
"222950","226370"," des acides dites mécaniques où l'épanchement péritoneal"
"226370","231190"," est tout simplement la conséquence des phénomènes mécaniques,"
"231370","234190"," soit une augmentation de la pression hydrostatique dans"
"234190","240330"," les capillaires venus splanchniques, consécutive le plus souvent"
"240330","243290"," hypertension portale, soit il y a une diminution"
"243290","246490"," de la pression oncrotique du fait de l "
"246490","251390","'hypoalbumine, soit il y a des phénomènes inflammatoires"
"251390","255230"," avec une atteinte péritoneale qui peut être soit"
"255230","259890"," infectieuse, soit myoplasique, soit inflammatoire, qui serait à"
"259890","263110"," l'origine d'un liquide qui sera riche"
"263110","263870"," en albumine."
"266790","268810"," Le diagnostic positif."
"269310","272150"," En fait, les circonstances découvertes sont variables. "
"273590","277010"," L'acide peut être découvert de façon fortuite"
"277010","281410"," chez un patient qui peut être asymptomatique ou"
"281410","285870"," qui vient consulter pour une symptomatologie non liée"
"285870","287090"," à l'acide en elle-même."
"287550","288810"," Et c'est l'examen clinique qui va"
"288810","292270"," mettre en évidence l'acide ou une échographie"
"292270","294730"," qui va être réalisée, qui va mettre en"
"294730","295850"," évidence une acide."
"295850","301390"," Soit le malade vient pour une symptomatologie liée"
"301390","305670"," à l'acide, notamment une sensibilité abdominale ou"
"305670","309050"," une douleur abdominale ou une gêne. "
"309270","312710"," Cet acide est responsable d'une gêne respiratoire"
"312710","315050"," ou des vomissements d'une gêne de l "
"315050","319670","'alimentation ou une distension abdominale."
