"start","end","text"
"1800","4680"," Bonjour, c'est Dr. Reis Hanan, enseignant d "
"4680","10340","'anatomie pathologique, et bienvenue à cette deuxième partie"
"10340","13340"," de cours intitulée « Les techniques d'anatomie"
"13340","15180"," pathologique » dans la dernière séance."
"15300","17020"," Au cours de la dernière séance, on s "
"17020","20080","'est arrêté au niveau de la fin de"
"20080","22460"," la macroscopie où on a mis les prélèvements"
"22460","25160"," dans des capsules perforées qui comportent le numéro"
"25160","25420"," d'un."
"27080","29240"," Et puis, c'est-à-dire qu'on"
"29240","30740"," s'est arrêté au niveau de la flèche"
"30740","33620"," rouge, et puis ces cassettes vont être remises"
"33620","37460"," dans un automate de déshydratation, dont le but,"
"37980","40280"," c'est d'enlever, c'est passer dans"
"40280","44340"," plusieurs solvants, notamment dans le formol, dans l "
"44340","49300","'alcool, dans le toluène, dans la paraffine, pour"
"49300","54320"," que le formol sorte des cellules et qu "
"54320","56640","'il soit remplacé par de la paraffine. "
"56980","59360"," La paraffine, lorsqu'il est chauffé à 56"
"59360","63260"," degrés, elle devient liquide et elle va rentrer"
"63260","63959"," dans les cellules."
"64140","65940"," Une fois qu'on va la faire sortir"
"65940","68100"," de l'appareil, elle va revenir à la"
"68100","72860"," température ambiante et elle va durcir comme la"
"72860","74980"," bougie, donc c'est de la paraffine, et"
"74980","77640"," donc ça permet de durcir le tissu."
"79140","84760"," Alors, l'opération technique consiste à transformer un"
"84760","90880"," prélèvement, qui est un spécimen brut, en une"
"90880","95600"," lame histologique, transformer un tissu qui comporte le"
"95600","105580"," formol vers une lame coupée, qui comporte le"
"105580","106940"," tissu qui va être analysé. "
"107200","110300"," Alors, pour obtenir des coupes minces, on rend"
"110300","112360"," d'abord rigide le tissu à couper."
"112840","116220"," Comment on va le rigidifier, soit par imprégnation"
"116220","119740"," en paraffine liquifiée, c'est les examens habituels,"
"119880","126000"," c'est les matériaux d'usine, soit, alors,"
"126240","128360"," on a un tissu qui est fixé au"
"128360","131040"," formol, c'est-à-dire que les cellules"
"131040","133340"," sont imprégnées de formol."
"133340","136140"," Le formol, il est fait de formaldéhyde et"
"136140","137600"," de l'eau, en fin de compte. "
"138180","142400"," Alors, pour remplacer l'eau par la paraffine,"
"143260","145420"," c'est non-compatible, c'est comme si"
