"start","end","text"
"4060","6060"," D'abord, est-ce que vous arrivez à"
"6060","7520"," m'entendre ?"
"7520","9420"," Est-ce que c'est clair ?"
"23150","25170"," Est-ce que quelqu'un peut me répondre"
"25170","25370"," ?"
"25370","26510"," Est-ce que vous arrivez à m'entendre"
"26510","27550"," ou pas ?"
"27550","28810"," Très bien, merci Hussam."
"29650","32690"," Donc, je propose que, si vous voulez, on"
"32690","34970"," passe chapitre par chapitre."
"35810","39010"," On peut commencer par l'anatomie de la"
"39010","39810"," régence LR. "
"40030","43090"," Est-ce que vous avez des questions, des"
"43090","45110"," remarques ?"
"45110","45390"," D'accord."
"47210","49130"," Est-ce que vous avez le support du"
"49130","51110"," cours à côté de vous ou à proximité"
"51110","52850"," ?"
"52850","55270"," Comme ça, je peux passer rapidement."
"56170","58670"," Et si vous avez des éclaircissements dans un"
"61900","64940"," point donné, on peut plus ou moins l "
"64940","66020","'éclairer. "
"87710","89370"," Ok, donc, merci Ajaar."
"89750","92590"," Donc, je passe rapidement sur l'anatomie de"
"92590","93470"," la régence LR."
"94350","95750"," Donc, si vous avez le support, ce sera"
"95750","98250"," plus facile de suivre avec le support à"
"98250","98510"," côté. "
"100210","107330"," Donc, on vous a mis comme objectif, donc,"
"107770","109910"," à la fin du cours, normalement, vous devez"
"109910","113770"," être capable de savoir, d'écrire les différentes"
"113770","118650"," parois de la régence LR et de connaître"
"118650","122190"," la morphologie de l'hypophyse et de connaître"
"122190","124510"," les principaux rapports de la régence LR."
"125350","128270"," Est-ce que vous avez pu, à la"
"128270","135250"," fin du cours, acquérir ces différentes compétences ?"
"144690","145330"," D'accord."
"148840","156350"," Donc, je rappelle, l'hypophyse est le principal"
"156350","159770"," constituant de la régence LR. "
"160330","163530"," Et donc, cette hypophyse, elle est située dans"
"163530","165390"," ce qu'on appelle la loge hypophysaire."
"165990","170350"," Comment est la loge hypophysaire ?"
"170350","175310"," Qui peut me dire la loge hypophysaire, comment"
"175310","176690"," elle est ?"
"186580","188390"," Ikram Boumlik, tu voulais répondre ?"
"203510","205630"," Elle a la forme d'un parallélepipède avec"
"205630","206070"," six faces."
"207970","209430"," Oui, ça c'est sa forme. "
"210150","212110"," Mais elle est, on dit que c'est"
"212110","213230"," une loge."
"214230","215690"," Qui est ostéofibreuse."
"216070","218390"," Très bien, qui est ostéofibreuse, c'est-à "
"218390","220370","-dire qu'elle a des parois osseuses, mais"
"220370","222950"," aussi des parois fibreuses. "
"223630","233310"," Donc, qui peut me dire les parois fibreuses"
"233310","237160"," que présente cette loge ?"
"237160","239120"," La paroi fibreuse se trouve à quel niveau"
"239120","240240"," ?"
"240240","242140"," Où les parois fibreuses ?"
"246650","250030"," La paroi supérieure, qui est représentée par le"
"250030","250690"," diaphragme."
"251490","257890"," Très bien, juste la paroi supérieure ?"
"257890","258390"," Latérale."
"259290","261150"," Et les parois latérales. "
"261310","265650"," Donc, les parois latérales sont constituées par quoi"
"265650","266490"," ?"
"272030","273470"," Le sinus caverneux."
"274210","277250"," Très bien, donc chaque paroi est en rapport"
"277250","280150"," avec le sinus caverneux et donc la paroi"
"280150","283850"," latérale de la loge hypophysaire répond à la"
"283850","286350"," paroi interne du sinus caverneux."
"287030","288590"," Ok ?"
"288590","288970"," Bonjour. "
"292830","298750"," Donc, j'insiste sur le fait que cette"
"298750","303110"," loge hypophysaire est située dans la portion antérieure"
"303110","307210"," et médiane de l'étage moyen de la"
"307210","307770"," base du crâne."
"308530","309810"," Donc, ça vous pouvez l'avoir comme question"
"309810","312170"," d'examen, par exemple, la loge hypophysaire est"
"312170","315810"," située dans l'étage antérieur, l'étage moyen"
"315810","316890"," ou l'étage postérieur."
"317250","318770"," Donc, retenez très bien que c'est dans"
"318770","320310"," l'étage moyenne et c'est dans sa"
"320310","322110"," partie antérieure et médiane. "
"323110","325450"," Aussi, la forme de la loge hypophysaire, qui"
"325450","329710"," est une forme parallélipide, avec, vous pouvez aussi"
