"start","end","text"
"1800","4320"," Bonjour tout le monde."
"5080","7460"," Alors, je me présente, je suis le professeur"
"7460","11660"," Hicham Beyzri, chef du service d'endocrinologie, diabétologie"
"11660","14840"," et maladies métaboliques à l'hôpital militaire à"
"14840","15740"," Bissin-de-Marrakech."
"16700","18760"," Alors, cette année, j'ai la tâche de"
"18760","23020"," vous enseigner la sémiologie métabolique et endocrinologique. "
"24520","28280"," En fait, cette semaine, vous aurez quatre cours."
"28280","31299"," Le premier cours d'aujourd'hui est celui"
"31299","33600"," de la sémiologie du diabète."
"34360","37580"," Il sera suivi d'un autre cours concernant"
"37580","42320"," la sémiologie thérapeutique, puis la sémiologie surrénalienne, pour"
"42320","47260"," finir par la sémiologie hypothalamo-hypophysique. "
"48240","51240"," Mais avant de commencer le premier cours, j "
"51240","55480","'aimerais revenir sur quelques notions de base en"
"55480","61320"," rappelant que le système endocrinien constitue un des"
"61320","63800"," deux grands systèmes de communication de l'organisme,"
"64480","67180"," l'autre étant bien évidemment le système nerveux."
"68080","71300"," Le rôle de ce système endocrinien est essentiel"
"71300","74880"," lors du développement pour la réalisation de certaines"
"74880","78120"," grandes fonctions physiologiques de l'homéostasie, c'est "
"78120","81740","-à-dire le maintien relativement constant du milieu"
"81740","82480"," intérieur."
"82480","86940"," Et puis, ce système se compose bien évidemment"
"86940","90960"," d'organes sécréteurs, de glandes endocrines qui synthétisent"
"90960","94240"," et libèrent dans l'organisme des hormones. "
"95000","99420"," Là, vous avez une figure qui rappelle l "
"99420","101440","'ensemble des glandes endocrines chez l'être humain,"
"102400","105100"," en insistant bien évidemment, comme vous le voyez"
"105100","107480"," sur le centre de commande, qui est le"
"107480","108720"," centre hypothalamo-hypophysiaire."
"108720","111520"," Et puis, il y a les autres glandes"
"111520","115040"," périphériques, les glandes thyroïdes, les glandes parathyroïdes, les"
"115040","120920"," glandes surrénales, le pancréas et les gonades, notamment"
"120920","123540"," les ovaires et les testicules."
"125220","129259"," Alors, je rappelle également que l'endocrinologie et"
"129259","132080"," l'étude des glandes endocrines et leur pathologie. "
"133280","135500"," Les glandes endocrines, ce sont des organes qui"
"135500","139500"," sécrètent des hormones dans la circulation sanguine."
"139820","143240"," Et puis, les hormones, ce sont des substances"
"143240","146940"," chimiquement définies, sécrétées dans le sang par une"
"146940","149800"," glande endocrine et qui agissent de façon spécifique"
"149800","152780"," par une liaison hormone-récepteur sur des cellules"
"152780","156500"," cibles situées généralement à distance de cette glande."
"158950","164790"," Alors, maintenant, je vais commencer le cours de"
"164790","168550"," la sémiologie métabolique qui va concerner en particulier"
"168550","169510"," le diabète sucré. "
"171050","174290"," Alors, les objectifs de ce cours sont comme"
"174290","174610"," suits."
"175110","177350"," C'est d'abord reconnaître les signes cliniques"
"177350","183050"," d'un diabète sucré, diagnostiquer un diabète sucré,"
"184570","187290"," différencier entre un diabète de type 1 et"
"187290","190270"," un diabète de type 2, reconnaître les signes"
"190270","194170"," cliniques d'une complication aiguë du diabète et"
"194170","200430"," également savoir rechercher une complication dégénérative du diabète."
"201590","204970"," Alors, je rappelle que le pancréas est un"
"204970","207070"," organe rétro-peritoneal. "
"207730","210650"," C'est une glande endocrine et exocrine."
"212270","216850"," Le pancréas endocrine produit deux hormones essentielles à"
"216850","219330"," action opposée et qui ont pour but de"
"219330","223930"," maintenir la glycémie normale, notamment l'insuline qui"
"223930","226150"," est produite par la cellule bêta des îlots"
"226150","229310"," de Langerhans et puis le glucagon qui est"
"229310","231690"," produit par la cellule alpha."
"232690","236530"," Et là, vous avez une figure, un tableau"
"236530","242830"," qui rappelle la constitution histologique du pancréas endocrine"
"242830","247970"," avec les îlots de Langerhans composés par les"
"247970","250930"," cellules bêta qui sont responsables de la sécrétion"
"250930","253530"," de l'insuline et qui représentent à peu"
"253530","256149"," près 60%. "
"256610","258089"," Et puis, il y a les cellules alpha"
"258089","264250"," qui sont responsables de la sécrétion du glucagon"
"264610","267130"," et qui représentent à peu près 25%."
"267770","271650"," Et puis, les cellules delta qui représentent 10 "
"271650","275230","% et qui sont responsables de la sécrétion"
"275230","275930"," de la somatostatie."
"277850","280630"," Alors, toujours dans le cadre du rappel physiologique,"
"282350","284850"," il faut savoir que l'insuline est une"
"284850","288090"," sorte de clé qui permet au glucose de"
"288090","291430"," pénétrer dans les tissus insulinosensibles et qui sont"
"291430","295250"," le foie, le muscle squelettique et le tissu"
"295250","296350"," adipeur. "
"296350","299970"," Elle est bien évidemment simulée par une élévation"
"299970","302770"," de la glycémie et la pénétration du glucose"
"302770","304390"," dans la cellule bêta."
"304490","306890"," Et puis, elle joue un rôle essentiel dans"
"306890","310390"," le métabolisme lipidique en inidant la lipolyse."
"312880","315480"," Alors maintenant, c'est quoi un diabète ?"
"315480","317060"," Ou bien, c'est quoi un diabète sucré"
"317060","317620"," ?"
"317620","319440"," Parce qu'il y a le diabète sucré"
"319440","322420"," et en endocrinologie, il y a également le"
"322420","323480"," diabète insipide. "
"323480","326780"," Alors, le diabète sucré se définit par une"
"326780","330940"," élévation anormale et chronique de la glycémie qui"
"330940","334500"," est secondaire à une insulino-résistance ou à"
"334500","337660"," une insulino-carence ou à l'association des"
"337660","337860"," deux."
"339080","341840"," Cette anomalie est commune à tous les types"
"341840","344540"," de diabète sucré, mais elle peut être la"
"344540","348700"," conséquence de mécanismes physiopathologiques très différents."
"348700","352640"," Le diabète est actuellement considéré comme une maladie"
"352640","356180"," chronique grave du fait de ces complications aiguës"
"356180","358380"," et chroniques qu'on va voir tout à"
"358380","358520"," l'heure. "
"361210","364030"," Alors, comment faire le diagnostic positif ?"
"364030","369390"," Le diagnostic positif du diabète sucré est posé"
"369390","372870"," quand on a une glycémie agent-veineuse supérieure"
"374470","377910"," ou égale à 1,26 g par litre"
"377910","382350"," vérifiée à deux reprises et cette glycémie est"
"382350","384470"," considérée comme le seuil d'apparition de la"
"384470","391050"," rétinopathie et ou une glycémie supérieure ou égale"
"391050","392630"," à 2 g par litre, quel que soit"
"392630","394490"," le moment de la journée, mais avec des"
"394490","399610"," symptômes et en particulier un syndrome cardinal et"
"399610","402390"," ou une glycémie supérieure ou égale à 2"
"402390","404770"," g par litre, deux heures après une charge"
"404770","407230"," en glucose, ce qu'on appelle la GPO"
"407230","410110"," à 75 g de glucose qu'on donne"
"410110","413650"," aux patients, on fait une glycémie agent et"
"413650","416530"," puis juste après on lui donne les 75"
"416530","419430"," g de glucose et puis on dose la"
"419430","421790"," glycémie deux heures après et si la glycémie"
"421790","425190"," est supérieure ou égale à 2 g, le"
"425190","428130"," diagnostic du diabète et d'un diabète sucré"
"428130","428730"," est retenu."
"428730","432410"," Le quatrième critère, c'est l'hémoglobine d "
"432410","435730","'IQ, quand elle est supérieure ou égale à"
"435730","439390"," 6,5 %, le diagnostic d'un diabète"
"439390","441390"," sucré est également retenu."
"443050","445730"," Alors comment on classe les diabètes sucrés ?"
"446510","448870"," En fait, il y a énormément de types"
"448870","449570"," de diabète. "
"451190","453970"," Il y a les plus importants ou les"
"453970","455690"," plus fréquents, c'est le diabète de type"
"455690","457910"," 2 qui représente à peu près 80 à"
"457910","462570"," 90 % de l'ensemble des diabètes."
"463470","466670"," Il est dû, comme on va le voir"
"466670","468830"," tout à l'heure, à une insuline résistante,"
"468950","472470"," plus ou moins une insuline aux carences, suivi"
"472470","474770"," par le diabète de type 1 qu'on"
"474770","477890"," voit dans 10 % des cas ou bien"
"477890","480350"," qui représente 10 % de l'ensemble du"
"480350","483950"," diabète et qui est secondaire à une destruction"
"483950","486150"," des cellules bêtes par un processus auto-ima."
"488070","489970"," Il y a également le diabète de gestation"
"489970","492110"," qu'on peut voir au cours de la"
"492110","492570"," grossesse. "
"493250","497190"," Alors, à part ces trois ou en dehors"
"497190","498850"," de ces trois diabètes, il y a d "
"498850","501970","'autres diabètes sucrés, il y a les diabètes"
"501970","505810"," monogéniques, notamment les diabètes de type maudit, mitochondriaux,"
"506310","508610"," les diabètes d'origine pancréatique suite à un"
"508610","512890"," cancer, une pancréatite aiguë, chronique, une pancréatectomie ou"
"512890","516169"," bien un traumatisme, les diabètes d'origine endocrinienne"
"516169","517950"," qu'on peut voir au cours d'une"
"517950","522070"," hyperthyroïdie, d'un hyperquanticisme, d'une acromegalie, en"
"522070","526970"," cas de phéochromocytome, glucagonome ou bien somatostatinome, les"
"526970","530490"," diabètes iatrogènes qu'on peut voir suite à"
"530490","533530"," la prise d'une corticothérapie ou bien de"
"533530","536670"," stéroïdes sexuels, de diurétiques, de neuroléptiques ou bien"
"536670","541310"," d'immunosuppresseurs, les diabètes secondaires à des maladies"
"541310","546950"," de surcharge, notamment l'hémochromatose et la maladie"
"546950","550710"," de Wilson, et puis les diabètes d'origine"
"550710","554290"," infectieuse qu'on peut également voir au cours"
"554290","555210"," de notre pratique."
"556970","559010"," Alors qu'en est-il du diabète de"
"559010","560110"," type 1 ?"
"560110","563030"," Alors le diabète de type 1, je rappelle"
"563030","566010"," que c'est une maladie auto-immune, bien"
"566010","572110"," sûr là vous avez un schéma qui reprend"
"572110","576110"," l'histoire naturelle de ce type de diabète."
"578570","580430"," Il y a d'abord la notion d "
"580430","586410","'une prédisposition génétique, et puis suite à une"
"586410","590570"," agression extérieure, il y aura la production d "
"590570","594590","'anticorps qui vont se diriger contre les cellules"
"594590","596910"," bêta du pancréas. "
"598090","602190"," Ces anticorps vont détruire ces cellules bêta et"
"602190","605790"," il y aura un déclin de la sécrétion"
"605790","606410"," d'insuline."
"607070","608510"," Tout d'abord il y a une phase"
"608510","612970"," où cette atteinte auto-immune va être silencieuse,"
"612970","616970"," puis une phase d'un diabète préclinique, et"
"616970","623490"," puis à partir du moment où la sécrétion"
"623490","627650"," d'insuline est réduite d'environ 80 à"
"627650","633230"," 80% de la sécrétion basale, il y"
"633230","636310"," aura l'apparition ou bien la déclaration ou"
"636310","638350"," la découverte du diabète de type 1."
"640670","643210"," Alors comment se présente cliniquement ce diabète de"
"643210","643870"," type 1 ?"
"644730","647930"," Le diabète de type 1 survient généralement à"
"647930","650630"," un âge jeune, chez l'enfant, l'adolescent"
"650630","652970"," ou bien l'adulte jeune, par un tableau"
"652970","659010"," clinique évocateur associant en particulier une asthémie intense,"
"659690","663250"," un maigrissement qui est rapide et important, une"
"663250","667910"," polyphagie ou une normophagie, une polyurie avec des"
"667910","671110"," urines abondantes supérieures ou qui dépassent 3 litres"
"671110","675290"," par 24 heures, et cette polyurie va être"
"675290","680170"," responsable d'une polydépsie avec des boissons abondantes"
"680170","684450"," atteignant plusieurs litres par jour."
"686560","693000"," Et l'ensemble de ces manifestations correspondent à"
"693000","695560"," ce qu'on appelle le syndrome cardiaque. "
"696520","698460"," Là c'est juste un rappel ou bien"
"698460","703040"," une explication de ce syndrome polyuropolydépsie qu'on"
"703040","705680"," voit très fréquemment chez le diabétique de type"
"705680","706120"," 1."
"709280","712080"," Alors comme vous le savez, le seuil rénal"
"712080","717780"," de réabsorption du glucose est généralement fixé à"
"717780","719900"," 1,8 g par litre."
"719900","724360"," Quand la glycémie dépasse ce seuil, il y"
"724360","726460"," aura une sécrétion ou il y a une"
"726460","730040"," absence de réabsorption du glucose qui vont être"
"730040","732900"," excrétées au niveau des urines."
"733480","736340"," Cette excrétion urinaire va être responsable d'une"
"736340","740300"," glycosurie et cette glycosurie va être responsable d "
"740300","743260","'une diuresse bien évidemment osmotique, d'une polyurie"
"743260","745900"," et secondairement d'une polydépsie. "
"750880","753980"," Alors le tableau clinique dans le cas du"
"753980","756960"," diabète de type 1 est souvent bruyant puisqu "
"756960","759480","'on parle généralement d'un coup de tonnerre"
"759480","760520"," dans un ciel calme."
"761820","764100"," C'est généralement des patients qui arrivent aux"
"764100","767380"," urgences dans un tableau de cétose ou bien"
"767380","768520"," de cétoacidose."
"770680","772680"," Donc souvent le diagnostic est fait à l "
"772680","775260","'occasion de cette manifestation ou bien de cette"
"775260","776660"," complication qui est inaugurale. "
"777620","782780"," Les manifestations cliniques apparaissent lorsque plus de 80 "
"782780","785100","% du capital cellulaire bêta est perdu."
"785340","787020"," Hélas, c'est une notion que j'ai"
"787020","788600"," rappelée tout à l'heure."
"789940","792840"," Alors sur le plan biologique, la mise en"
"792840","795680"," évidence d'une hyperglycémie et d'une glycosurie"
"795680","798420"," massive au bandette urinaire confirme le diagnostic. "
"799260","803560"," Donc souvent on retrouve une acétonurie associée, c "
"803560","805860","'est la notion de, ou bien c'est"
"805860","807860"," la présence de corps cétoniques dans les urines,"
"808000","810080"," ce qui définit la cétose diabétique."
"811120","815020"," Alors pour confirmer le diagnostic, on recherche ou"
"815020","817940"," bien on cherche la présence d'anticorps qui"
"817940","820080"," attestent du caractère auto-humain du diabète."
"821070","825140"," Notamment les anticorps anti-GATT, les anticorps anti "
"825140","831820","-IA2, les anticorps anti-ZNT8 et puis les"
"831820","834360"," anticorps anti-insuline qu'on peut rechercher mais"
"834360","837250"," avant, généralement avant de démarrer l'insulinothérapie. "
"837860","839400"," Et ça c'est une situation qui est"
"839400","840380"," très très rare."
"841260","844520"," Et puis les anticorps anti-ILO de l "
"844520","847380","'Anglais-Rhinse qui ont été abandonnés actuellement."
"849140","854680"," Alors ce qu'il faut retenir concernant le"
"854680","856520"," diabète de type 1, c'est que le"
"856520","858640"," diabète de type 1 est une maladie auto "
"858640","859000","-immune. "
