"start","end","text"
"1220","4760"," Juste pour une précision, l'étape préanalytique fait"
"4760","12100"," partie du cours de biochimie clinique, donc je"
"12100","15760"," vous conseille de bien préparer ce chapitre-là"
"15760","17920"," parce que c'est très intéressant, il touche"
"17920","19640"," tous les chapitres d'ailleurs."
"24160","27040"," Vous aurez des questions, bien sûr, au cours"
"27040","30040"," de l'évaluation, vous aurez des questions en"
"32310","34470"," rapport avec ce chapitre-là."
"45980","49960"," C'était l'étape préanalytique en biochimie clinique. "
"72720","75020"," Oui, ça peut être un diabète permanent, oui."
"77660","78520"," Malheureusement, oui."
"102580","107000"," Très bonne question, une très très bonne question. "
"107140","110900"," Une hypercalémie, une fausse hypercalémie, d'accord."
"116020","119120"," L'hémolyse, première cause, c'est l'hémolyse."
"119240","121540"," Si jamais le prélèvement est hémolysé, c'est "
"121540","124560","-à-dire que le prélèvement contient beaucoup de"
"124560","131800"," globules rouges qui ont éclaté, ça provoque l "
"131800","132500","'hypercalémie. "
"132500","139760"," Si le tube de prélèvement a été mal"
"139760","143580"," choisi, ça peut poser le problème."
"143800","148380"," Par exemple, si vous voulez déterminer une calémie,"
"148540","150060"," c'est-à-dire un dosage de potassium,"
"151160","154340"," et vous utilisez un tube à EDTA qui"
"154340","157220"," contient l'EDTA potassium, c'est normal que"
"157220","159500"," vous ayez une hypercalémie, une fausse hypercalémie."
"161920","165360"," L'hypercalémie, on l'aura aussi avec les"
"165360","167900"," prélèvements capillaires, parce qu'on avait dit que"
"167900","172620"," l'inconvénient majeur de prélèvements capillaires, c'est"
"172620","176020"," l'hémolyse, et l'hémolyse provoque l'hypercalémie. "
"176020","183720"," Voilà les différentes causes en phase préanalytique qui"
"183720","185420"," peuvent expliquer une hypercalémie."
"185580","189080"," L'hémolyse, l'usage d'un mauvais tube"
"189080","192600"," qui contient déjà du potassium, et bien sûr"
"192600","193900"," les prélèvements capillaires."
"202820","208520"," Alors la déshydratation et l'hyperhydratation. "
"209980","214020"," La déshydratation est expliquée par, il y a"
"214020","218140"," plusieurs types de déshydratation, intracellulaire, extracellulaire,"
"218280","222100"," hypertonique, hypotonique, ça dépend des mouvements d'eau,"
"222920","224140"," c'est toujours l'osmose."
"224140","225940"," Si il y a une perte d'eau"
"225940","229340"," et une perte de sel, ou bien il"
"229340","231580"," y a beaucoup plus de perte d'eau"
"231580","234220"," que de sel, c'est qu'on aura"
"234220","237980"," soit des déshydratations hypotoniques, soit des déshydratations hypertoniques,"
"238280","239000"," tout simplement."
"240800","250460"," Comment un diabète peut aboutir à une"
"250460","251720"," hypoglycémie ?"
"251720","254520"," Les complications du diabète. "
"255180","258519"," C'est parmi les complications, l'hypoglycémie, oui,"
"258839","262300"," c'est parmi les complications aiguës, et ce"
"262300","264080"," sont des complications métaboliques."
"266650","269930"," Imaginons un diabète, un diabétique sucré qui est"
"269930","274290"," sous traitement et tout, d'accord ?"
"275230","283120"," Parfois, il oublie son traitement, il oublie plutôt"
"283120","288400"," après prise de son médicament, il oublie de"
"288400","288780"," manger."
"289660","292400"," Donc le médicament provoque déjà, il fait baisser"
"292400","295340"," la glycémie et le fait d'oublier de"
"295340","298040"," manger, ça peut donner des hypoglycémies. "
"301400","304580"," Entre le test statique et le test dynamique,"
"304620","305020"," très bien."
"305120","309780"," Le test statique, oui, le test statique, ce"
"309780","311740"," n'est pas statistique, c'est statique déjà,"
"311900","313000"," ce n'est pas statistique."
"313480","314900"," La statistique c'est autre chose, c'est"
"314900","316120"," mathématique, c'est statique. "
"316980","318380"," Statique c'est dire on ne fait rien."
"319660","322040"," Je donne l'exemple d'une glycémie à"
"322040","323900"," un gène, un exemple."
"325460","326520"," Une glycémie à un gène, il y a"
"326520","333020"," le malade qui arrive, pardon. "
"333020","338020"," Alors, pour le test statique glycémie à un"
"338020","339820"," gène, le malade qui arrive, on fait un"
"339820","345200"," prélèvement à un gène, un prélèvement sanguin, un"
"345200","348360"," prélèvement du sang veineux, et on dose le"
"348360","350100"," glucose dans ce prélèvement."
"350200","352760"," Ça c'est un test statique, c'est "
"352760","353680","-à-dire qu'on n'a fait aucune"
"353680","355140"," intervention chez le malade."
"355140","359900"," À la différence d'un test dynamique, c "
"359900","364620","'est qu'on fait une petite intervention chez"
"364620","366380"," le malade avant de faire le test. "
"367980","373840"," Le cas de l'hyperglycémie provoquée par VAORA,"
"373980","375240"," ça c'est un test dynamique."
"375480","376360"," C'est-à-dire qu'on donne du"
"376360","379460"," sucre au malade, le malade vient à la"
"379460","383320"," salle de prélèvement, au niveau du service, on"
"383320","389040"," lui donne du sucre, et après avoir donné"
"389040","391500"," cette quantité de sucre au malade, on fait"
"391500","394220"," le prélèvement."
"394860","396620"," Donc on a fait une action chez le"
"396620","401640"," malade, et on veut savoir comment son organisme"
"401640","403120"," va réagir à cette action. "
"403320","404600"," Ça c'est un test dynamique, c'est"
"404600","405320"," une épreuve."
"405860","408640"," Chaque fois qu'on fait une épreuve, soit"
"408640","411520"," en modifiant un paramètre par une intervention, et"
"411520","415500"," ça vous l'avez vu surtout lorsqu'on"
"415500","419900"," vous a parlé de la cortico-surrénale, il"
"419900","422160"," y a des tests de freinage comme il"
"422160","423160"," y a des tests de stimulation."
"423520","425280"," Les tests de freinage et les tests de"
"425280","427960"," stimulation ce sont des tests dynamiques, parce que"
"427960","430220"," vous essayez de freiner ou de stimuler avant"
"430220","431160"," de faire l'analyse. "
"431160","433660"," Ça c'est un test dynamique."
"433740","435280"," Un test statique, vous ne faites rien."
"436120","437280"," Il y a le malade qui arrive, vous"
"437280","441500"," faites un prélèvement et vous dosez, sans aucune"
"441500","442960"," intervention préalable. "
"443660","446880"," Donc c'est compris la différence entre test"
"446880","449080"," statique et test dynamique."
"449520","451520"," Dynamique, chaque fois qu'il y a une"
"451520","460110"," intervention préalable chez le malade avant de faire"
"460110","462790"," l'analyse."
"465170","467110"," Ah oui, la pause du garrot, oui, j "
"467110","468050","'ai oublié de vous le dire. "
"468150","469730"," La pause prolongée du garrot."
"469730","472790"," Ce que j'avais dit au cours du"
"472790","477890"," chapitre de la phase préalatique, c'est que"
"477890","482530"," le garrot il faut léviter au maximum possible,"
"482770","485270"," mais parfois on est obligé de l'utiliser"
"485270","486850"," pour faire apparaître la veine."
"487970","490830"," Donc si vous posez le garrot d'une"
"490830","495470"," façon très très prolongée, vous risquez de provoquer"
"495470","495990"," une hypercalémie. "
"495990","499370"," Donc la pause prolongée du garrot provoque aussi"
"499370","501950"," une fausse hypercalémie."
"502790","507930"," Les prélèvements, le mauvais tube, l'hémolyse, la"
"507930","511870"," pause prolongée du garrot, et les prélèvements capillaires"
"511870","514970"," peuvent provoquer des fausses hypercalémies."
"515770","516970"," Donc quatre causes possibles. "
"517470","519429"," L'usage d'un mauvais tube qui contient"
"519429","522669"," déjà du potassium, comme le cas du DTA"
"522669","528190"," potassique, ou un prélèvement hémolysé, ou bien la"
"528190","532050"," pause prolongée du garrot, ou bien le prélèvement"
"532050","532730"," capillaire."
"538550","540050"," Est-ce qu'on peut faire un prélèvement"
"540050","543230"," sur le DTA pour un test de glycémie"
"543230","543710"," ingénieuse ?"
"543710","551610"," Non, parce que le DTA potassique c'est"
"551610","557790"," un prélèvement qui contient le DTA potassique et"
"557790","560290"," le DTA, c'est vrai, c'est un"
"560290","562370"," chélateur de calcium, c'est pour ça qu "
"562370","565650","'il a cet effet anticoagulant, mais pour une"
"565650","568770"," glycémie ingénieuse, évitez d'utiliser ce genre de"
"568770","568930"," tube."
"569570","572470"," Pour une glycémie ingénieuse, pensez à utiliser soit"
"572470","575930"," un tube épariné, qui contient de l'éparinate"
"575930","580210"," de lithium, soit un tube à fluorure de"
"580210","583970"," sodium qui contient un anti-glucolytique, ou tout"
"583970","587190"," simplement un tube sec, qui ne contient rien,"
"587330","587870"," pas d'anticoagulant. "
"595730","597830"," QCM, QCM, non c'est des QCM."
"599830","600590"," A choix multiple."
"604940","608000"," Pour Fatem Zahra Ben Noura, je réponds, ce"
"608000","610240"," serait des QCM et non des QCM. "
"612480","614560"," Ce qui est nouveau cette année pour vous,"
"614760","615780"," c'est..."
"617600","626240"," Pour la réponse, sur la feuille des réponses,"
"626480","629520"," il ne faut plus cocher les cases, il"
"629520","632240"," faut remplir les cases à partir de cette"
"632240","632980"," session-là."
"633960","637560"," Donc je rappelle, s'il vous plaît, remplir"
"637560","637960"," les cases."
"638180","640040"," Et c'est écrit sur la feuille, ce"
"640040","642000"," sera écrit cette notion. "
"643300","645020"," C'est une décision qui a été prise"
"645020","646640"," par la commission d'évaluation."
"647920","650840"," Elle a été approuvée par l'administration."
"651480","653880"," C'est que dorénavant, vous devez non plus"
"653880","657100"," cocher les cases de réponse, mais plutôt remplir"
"657100","658140"," au stylo noir. "
"672160","673840"," Est-ce que le fluor de sodium est"
"673840","676700"," suffisant pour un prévénement de sang veineux ?"
"676700","679260"," Alors, s'il vous plaît, pardon."
"680940","683280"," Le fluor de sodium, s'il vous plaît,"
"683640","684540"," pour un sang veineux."
"684540","688740"," Alors, le fluor de sodium n'est pas"
"688740","689580"," un anticoagulant. "
"689720","691620"," Je le répète et je ne cesse de"
"691620","692240"," le répéter."
