"start","end","text"
"1100","5220"," Bon, aujourd'hui, on va aborder l'aspect"
"5220","7500"," thérapeutique de la transfusion, donc c'est un"
"7500","8080"," autre domaine."
"8700","10960"," La dernière fois, on avait le groupe sanguin,"
"11120","14120"," donc sur le plan fondamental, biologique, physiologique."
"15160","17760"," Nous avons vu la chaîne transfusionnelle qui résume"
"17760","20440"," un petit peu l'activité d'un centre"
"20440","21720"," de transfusion sanguine. "
"22020","24260"," Et maintenant, on est sur le produit final."
"24260","27260"," Donc à quoi sert toutes ces connaissances fondamentales"
"27260","30220"," et d'étudier la chaîne transfusionnelle, c'est "
"30220","33100","-à-dire le don de sang, les centrifugations,"
"33200","35720"," séparation, la préparation des produits sanguins qu'on"
"35720","39260"," va transfuser, leurs qualifications virologiques, bactériologiques,"
"39380","44460"," immunohématologiques, leur stockage, la distribution."
"45120","48320"," On a vu un petit peu le volet"
"48320","51640"," administratif, c'est-à-dire la prescription, la"
"51640","52620"," délivrance, tout ça. "
"52620","56580"," Et maintenant, on va aborder le chapitre thérapie"
"56580","59020"," transfusionnelle, c'est-à-dire quels sont les"
"59020","62520"," produits utilisés dans la transfusion sanguine."
"64500","67420"," Bon, juste un petit rappel, le sang, vous"
"67420","71100"," l'avez déjà vu en biochimie, en immunogénétique,"
"71220","71480"," tout ça."
"71660","73320"," Donc, c'est pour ça que je vous"
"73320","74940"," ai dit, il faut avoir des prérequis. "
"76080","78500"," Donc, concernant l'aspect biochimique, le sang est"
"78500","80440"," composé d'un liquide qui est le plasma."
"80440","84860"," Il contient de l'eau, des protéines comme"
"84860","87560"," l'albumine, des anticorps pour la défense immunitaire"
"87560","90670"," et les immunoglobulines, des molécules de la coagulation,"
"91740","95840"," la protrombine, le proconvortine, le facteur antibiophilique A,"
"95860","98160"," B, le facteur stivate, le fibrinogène aussi."
"98840","102620"," Autres protéines, vous avez vu ça en biochimie,"
"102900","105520"," des oligo-hylurmonvitamines, c'est le minéraux. "
"105520","109180"," Donc, vous imaginez la richesse du plasma."
"110000","112300"," Donc, vous voyez l'intérêt de transfuser du"
"112300","114080"," plasma chez quelqu'un qui en a besoin."
"114340","116280"," Donc, il y a des brûlures étendues, des"
"116280","119780"," chocs épovolumiques, des pertes du plasma, etc. "
"120100","123660"," Donc, on peut lui restituer du plasma."
"124100","126820"," Mais hélas, il n'y a pas lieu"
"126820","132140"," de vraie compatibilité par les anticorps anti A,"
"132240","132840"," anti B."
"133940","136480"," Donc, c'est ça, la richesse du plasma."
"138060","141240"," Le contingent, bien la composante cellulaire du sang,"
"141660","144240"," à part cette composante liquide, il y a"
"144240","147640"," aussi les cellules, les globules rouges, surtout le"
"147640","153040"," pigment immunoglobuline qui est le transporteur des gaz"
"153040","155520"," respiratoires, oxygène, CO2, etc. "
"155800","158200"," Mais il faut savoir qu'il y a"
"158200","160640"," aussi d'autres fonctions physiologiques des globules rouges,"
"160720","161300"," de l'immunoglobine."
"161300","162900"," Donc, je ne vais pas entrer dans les"
"162900","163300"," détails."
"164080","167840"," Les composantes cellulaires contiennent aussi les plaquettes qui,"
"168000","171320"," par leur fonction d'adhésion et d'agrégabilité,"
"172060","173940"," vous l'avez vu, sont les moustaches primaires. "
"174520","177940"," Donc, ça permet d'assurer les moustaches primaires."
"178120","179540"," Mais aussi, elles jouent un rôle dans la"
"179540","180240"," coagulation."
"180780","185180"," Bien sûr, grâce aux sécrétions de contenus plaquetteurs,"
"185240","187820"," des granules alpha, des granules dense, etc. "
"187820","193940"," Donc, l'intérêt du rôle vital des plaquettes,"
"194060","195860"," à côté, bien sûr, du rôle vital de"
"195860","199420"," transfusion de globules rouges et le rôle aussi"
"199420","201600"," immunitaire des globules blancs."
"201640","203380"," Chez quelqu'un, par exemple, qui a une"
"203380","206660"," leucopinie, une leucopinie."
"207180","210380"," Donc, on va peut être lui transfuser des"
"210380","213200"," globules blancs grâce à leur fonction de semiotactisme"
"213200","217900"," antibactérien, la phagocytose généralisée, spécialisée, la bactéricidie. "
"218460","219620"," Donc, tout ça, c'est le rôle de"
"219620","221900"," défense immunitaire spécifique et non spécifique."
"222440","226040"," On peut greffer parfois ou bien transfuser des"
"226040","228440"," cellules mononucléaires, c'est à dire des monocytes,"
"228560","228840"," tout ça."
"229320","231160"," Les lymphocytes, c'est vraiment rare. "
"231640","234740"," Il ne faut même pas parler de transfusion"
"234740","237300"," des lymphocytes, mais on parle de transfusion des"
"237300","240740"," granulocytes, essentiellement les polynucléaires monocytes."
"240740","243820"," Et il faut ajouter ici, mais ça, ce"
"243820","245420"," n'est pas le sang périphérique, c'est"
"245420","246520"," plutôt la moelle."
"247200","250340"," Donc, on peut greffer du tissu. "
"250640","252060"," Cette fois-ci, ce n'est pas de"
"252060","255680"," la thérapie cellulaire, c'est plutôt la thérapie"
"255680","255899"," tissulaire."
"256440","258019"," Si on voulait, c'est un tissu de"
"258019","260100"," la moelle qu'on prélève dans l'honneur"
"260100","261520"," pour le greffer en receveur."
"262880","264640"," Mais ça, c'est la greffe. "
"265180","267160"," Mais il faut savoir que la greffe, c "
"267160","268640","'est une forme de transfusion."
"268640","270480"," Donc, on va prendre du tissu de la"
"270480","272080"," moelle d'un donneur pour le donner à"
"272080","272440"," un receveur."
"273020","275680"," Mais ce qui est entre greffe et transfusion,"
"275820","278080"," c'est surtout les cellules souches périphériques. "
